test,provider,status,grounded,source,what_it_measures,what_your_result_means,lifestyle_suggestions,gp_question,response_time_sec,error,fk_grade_what_it_measures,fk_grade_what_result_means
Haemoglobin,gemini,low,,,,,,,,RuntimeError: all providers in chain failed for this call,,
HbA1c,gemini,high,,,,,,,,RuntimeError: all providers in chain failed for this call,,
Ferritin,gemini,low,,,,,,,,RuntimeError: all providers in chain failed for this call,,
TSH,gemini,high,,,,,,,,RuntimeError: all providers in chain failed for this call,,
Haemoglobin,groq_llama,low,True,NHS UK / NIH MedlinePlus,Hemoglobin is the iron‑rich protein in red blood cells that transports oxygen from the lungs to the rest of the body.,"A low hemoglobin level can indicate anaemia, which may cause tiredness and breathlessness. It suggests the red blood cells may not be carrying enough oxygen.","Discuss with your GP whether your vegetarian diet provides enough iron and other minerals. | Ask about any recent events that could have caused blood loss, such as injury or surgery.","Could my low hemoglobin be due to iron deficiency, and what steps can we take to improve it?",1.17,,9.46,8.64
HbA1c,groq_llama,high,True,NHS UK / NIH MedlinePlus,HbA1c indicates the average level of glucose in your blood over the past two to three months.,"Your value of 58 mmol/mol is above the reference range of 20‑42 mmol/mol, showing that your blood sugar has been elevated and may point to pre‑diabetes or diabetes.",Ask about dietary adjustments that could help lower blood glucose | Discuss adding regular physical activity to your routine,What lifestyle changes or treatments would you recommend to bring my HbA1c into the normal range?,1.39,,7.7,14.29
Ferritin,groq_llama,low,True,NHS UK / NIH MedlinePlus,"Ferritin is a protein that binds and stores iron in the body. The ferritin blood test measures how much of this protein is present in the bloodstream, which reflects the amount of iron stored in the body.","A low ferritin level indicates that iron stores are reduced. When iron stores are low, it can progress to iron‑deficiency anaemia if not addressed.","Include more iron‑rich foods such as legumes, leafy greens, nuts, and fortified cereals in your diet | Ask your GP about whether an iron supplement might be appropriate for you","Could my low ferritin be related to my vegetarian diet, and would iron supplementation be recommended?",10.47,,7.57,7.77
TSH,groq_llama,high,True,NHS UK / NIH MedlinePlus,"TSH is a hormone released by the pituitary gland that signals the thyroid how much hormone to produce, so measuring its level shows how the thyroid is functioning.","A result above the reference range indicates a higher than normal TSH level, which can suggest the thyroid is not producing enough hormone (an underactive thyroid). The test itself does not reveal the cause of the abnormal level.",Prepare a list of any thyroid medication or supplements you are currently taking | Note any symptoms you have experienced that might relate to thyroid function,Can you explain why my TSH is elevated and what steps we should take next?,28.6,,13.87,11.07
Haemoglobin,mistral,low,True,NHS UK / NIH MedlinePlus,"This test measures the amount of haemoglobin, an iron-rich protein in red blood cells that transports oxygen from the lungs to body tissues. It reflects how well your red blood cells are functioning to deliver oxygen for energy and growth.","Your haemoglobin level is below the normal range, which may suggest your red blood cells are less effective at carrying oxygen. This could explain symptoms like tiredness or breathlessness, though further assessment is needed to determine the cause.","Ask your GP if your diet may be contributing to low iron intake, especially as a vegetarian. | Prepare to discuss any unusual bleeding or symptoms like dizziness during your appointment.","Could my vegetarian diet be affecting my haemoglobin levels, and should I consider iron-rich foods or supplements?",2.01,,9.32,10.45
HbA1c,mistral,high,True,NHS UK / NIH MedlinePlus,This test shows your average blood sugar level over the past 2 to 3 months by measuring how much sugar is attached to your red blood cells. It reflects how well your body has been managing glucose in general circulation.,"Your result is higher than the normal range, which suggests your blood sugar has been elevated during the last few months. This may indicate your body is having difficulty regulating glucose levels over time.",Keep a simple food diary to note meals and snacks before your GP visit. | Write down any symptoms like unusual thirst or fatigue to discuss with your doctor.,Could you explain what factors might be contributing to my elevated HbA1c result?,1.82,,9.62,10.48
